Country,2020,2021,2022,2023,2024,2025,2026,Total_Laid_off
Argentina,0.0,0.0,233.0,0.0,140.0,0.0,0.0,373.0
Australia,96.0,0.0,875.0,1633.0,190.0,370.0,6491.0,9655.0
Austria,0.0,0.0,270.0,0.0,270.0,0.0,0.0,540.0
Belgium,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0
Brazil,1227.0,0.0,4084.0,1643.0,75.0,0.0,400.0,7429.0
Canada,982.0,45.0,3025.0,4212.0,3978.0,1953.0,499.0,14694.0
Cayman Islands,0.0,0.0,0.0,0.0,60.0,0.0,0.0,60.0
Chile,0.0,0.0,0.0,295.0,200.0,0.0,0.0,495.0
China,0.0,0.0,480.0,275.0,1070.0,0.0,0.0,1825.0
Cyprus,0.0,0.0,0.0,0.0,200.0,0.0,40.0,240.0
Czech Republic,0.0,0.0,0.0,0.0,316.0,0.0,0.0,316.0
Denmark,0.0,0.0,335.0,0.0,79.0,100.0,0.0,514.0
Estonia,63.0,0.0,143.0,167.0,13.0,0.0,0.0,386.0
Finland,0.0,0.0,250.0,0.0,0.0,36.0,14000.0,14286.0
France,0.0,0.0,443.0,457.0,280.0,9.0,200.0,1389.0
Germany,331.0,387.0,2508.0,12118.0,12139.0,1450.0,250.0,29183.0
Hong Kong,700.0,0.0,30.0,0.0,0.0,0.0,0.0,730.0
India,9877.0,200.0,8861.0,5982.0,9990.0,20302.0,3020.0,58232.0
Indonesia,430.0,0.0,1931.0,360.0,1150.0,420.0,0.0,4291.0
Ireland,0.0,0.0,209.0,207.0,375.0,11400.0,0.0,12191.0
Israel,224.0,0.0,1593.0,1448.0,2908.0,7827.0,1002.0,15002.0
Japan,0.0,0.0,0.0,120.0,9000.0,178.0,70.0,9368.0
Kenya,0.0,0.0,349.0,633.0,1060.0,0.0,1100.0,3142.0
Luxembourg,0.0,0.0,0.0,0.0,0.0,370.0,0.0,370.0
Malaysia,50.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0
Malta,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Mexico,90.0,0.0,80.0,0.0,0.0,0.0,0.0,170.0
Netherlands,225.0,0.0,0.0,35.0,650.0,120.0,1700.0,2730.0
New Zealand,0.0,0.0,0.0,1025.0,0.0,0.0,0.0,1025.0
Nigeria,0.0,0.0,970.0,0.0,0.0,320.0,0.0,1290.0
Norway,0.0,0.0,70.0,0.0,215.0,0.0,0.0,285.0
Poland,0.0,0.0,0.0,0.0,325.0,0.0,0.0,325.0
Portugal,80.0,0.0,0.0,0.0,0.0,66.0,0.0,146.0
Russia,0.0,0.0,400.0,0.0,0.0,0.0,0.0,400.0
Senegal,0.0,0.0,300.0,0.0,0.0,0.0,0.0,300.0
Singapore,861.0,21.0,2844.0,1069.0,471.0,50.0,0.0,5316.0
South Korea,0.0,0.0,0.0,350.0,0.0,0.0,0.0,350.0
Spain,0.0,0.0,0.0,339.0,54.0,0.0,0.0,393.0
Sweden,0.0,0.0,1507.0,10800.0,1990.0,2904.0,1685.0,18886.0
Switzerland,62.0,0.0,0.0,0.0,0.0,106.0,0.0,168.0
Thailand,0.0,0.0,55.0,0.0,0.0,0.0,0.0,55.0
UK,1478.0,0.0,2701.0,6986.0,5639.0,274.0,1155.0,18233.0
USA,44217.0,6137.0,92429.0,126792.0,120529.0,151750.0,88781.0,630635.0
United Arabian Emirates,536.0,0.0,552.0,0.0,0.0,0.0,0.0,1088.0
United Kingdom,0.0,0.0,0.0,0.0,0.0,440.0,0.0,440.0
United States,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,2500.0
Uruquay,0.0,0.0,0.0,0.0,104.0,0.0,0.0,104.0
