Country,Total_Laid_off
Argentina,373.0
Australia,2664.0
Austria,270.0
Belgium,50.0
Brazil,7029.0
Canada,10815.0
Cayman Islands,60.0
Chile,295.0
China,755.0
Czech Republic,316.0
Denmark,414.0
Estonia,373.0
Finland,250.0
France,1040.0
Germany,25809.0
Hong Kong,730.0
India,41492.0
Indonesia,2721.0
Ireland,456.0
Israel,11985.0
Japan,5120.0
Kenya,982.0
Malaysia,100.0
Mexico,170.0
Netherlands,1030.0
New Zealand,1025.0
Nigeria,1140.0
Norway,135.0
Portugal,146.0
Russia,400.0
Senegal,300.0
Singapore,5187.0
South Korea,350.0
Spain,339.0
Sweden,17057.0
Switzerland,168.0
Thailand,55.0
UK,13409.0
USA,425063.0
United Arabian Emirates,1088.0
United Kingdom,440.0
Uruquay,104.0
