"company","laid offs","layoff date","Industry","location"
"Ola Electric","620 (5%)","31 Jan, 2026","Motor Vehicle Manufacturing","Bengaluru, IN"
"Amazon","16000","30 Jan, 2026","Software Development","Seattle, US"
"Zupee","200 (40%)","30 Jan, 2026","Entertainment Providers","Gurugram, IN"
"Zillow","200","30 Jan, 2026","Multiple Listing Service (MLS) Software","Seattle, US"
"ASML","1700","29 Jan, 2026","Semiconductor Manufacturing","Veldhoven, NL"
"NetEase",,"28 Jan, 2026","Online gaming","Hangzhou, CN"
"Pinterest","(15%)","27 Jan, 2026","Social Networking Software","San Francisco, US"
"Moon Active","110 (5%)","27 Jan, 2026","Computer Games","Tel Aviv-Yafo, IL"
"Entropy","(100%)","25 Jan, 2026","Crypto","San Francisco, US"
"Nifty Gateway","(100%)","24 Jan, 2026","Entertainment Providers","New York, US"
"Vimeo",,"23 Jan, 2026","Video Hosting Platform","New York, US"
"Starbreeze",,"23 Jan, 2026","Computer Games","Stockholm, SE"
"Autodesk","1000","22 Jan, 2026","Software Development","San Francisco, US"
"Code.org","18","21 Jan, 2026","Primary and Secondary Education","Seattle, US"
"Polygon Labs","60 (30%)","16 Jan, 2026","Crypto","New York, US"
"Ericsson","1600","15 Jan, 2026","Telecommunications","Sweden"
"Polygon Labs","(30%)","15 Jan, 2026","Blockchain","New York, US"
"Tipalti","100","15 Jan, 2026","Fintech","Foster City, US"
"Playtika","500 (15%)","14 Jan, 2026","Computer Games","Herzliya, IL"
"eToro","105","13 Jan, 2026","Financial Services","London, GB"
"StoreDot",,"13 Jan, 2026","Fast-charging battery developer","Herzliya, IL"
"Sapiens","(10%)","12 Jan, 2026","Software","Holon, IL"
"Meta","(10%)","12 Jan, 2026","Software Development","Menlo Park, US"
"Amazon","2500","11 Jan, 2026","Retail","United States"
"FormFactor","200","09 Jan, 2026","Semiconductor test and measurement","San Francisco, US"
"OKX","10","09 Jan, 2026","Crypto Exchange","San Jose, US"
"Hailo","30 (10%)","08 Jan, 2026","Semiconductor Manufacturing","Tel Aviv-Yafo, IL"
"TailwindCSS","3 (75%)","08 Jan, 2026","Software Development","Oklahoma City, US"
"Cloudhead Games","(70%)","07 Jan, 2026","Computer games","Qualicum Beach, CA"
"Ubisoft",,"07 Jan, 2026","Computer Games","France"
"Block","4000","27 Feb, 2026","Financial Services","Oakland, US"
"WiseTech Global","2000 (30%)","25 Feb, 2026","Logistics software","Sydney, AU"
"TrueCar","(30%)","24 Feb, 2026","Car marketplace","Santa Monica, US"
"C3.ai","71","24 Feb, 2026","Enterprise AI","Redwood City, US"
"Tencent",,"22 Feb, 2026","Software Development","Shenzhen, CN"
"Livspace","1000 (12%)","20 Feb, 2026","Consumer","Bengaluru, IN"
"Lucid Motors","(12%)","20 Feb, 2026","Lucid Motors","Newark, US"
"AOL","100","20 Feb, 2026","Software Development","New York, US"
"Firebolt",,"20 Feb, 2026","Analytical Database","Palo Alto, US"
"FanDuel","74","20 Feb, 2026","Entertainment Providers","New York, US"
"Ubisoft","40","19 Feb, 2026","Computer Games","Toronto, CA"
"HCLTech","100","19 Feb, 2026","IT consulting","Noida, IN"
"Sony","70","19 Feb, 2026","Entertainment Providers","Tokyo, JP"
"Cyberark","500","17 Feb, 2026","Security","Newton, US"
"Huawei","50 (12%)","15 Feb, 2026","Consumer electronics and telecom equipment","Tel Aviv-Yafo, IL"
"Axonius","40 (4%)","15 Feb, 2026","Cybersecurity","New York, US"
"Startup Nation Central","65 (81%)","13 Feb, 2026","Non-profit Organizations","Tel Aviv-Yafo, IL"
"xAI",,"12 Feb, 2026","Artificial intelligence research","San Francisco, US"
"Hinterland","10","12 Feb, 2026","Computer Games","Vancouver, CA"
"Netflix","50","12 Feb, 2026","Entertainment Providers","Los Gatos, US"
"Clari","76","12 Feb, 2026","Revenue operations","Sunnyvale, US"
"Salesforce","1000","11 Feb, 2026","Software Development","San Francisco, US"
"Cycurion",,"11 Feb, 2026","Computer and Network Security","McLean, US"
"Fi",,"11 Feb, 2026","Fintech","Bengaluru, IN"
"Telstra","650","11 Feb, 2026","Telecommunications","Sydney, AU"
"Glossier","50","11 Feb, 2026","Retail","New York, US"
"Power Integrations","(7%)","10 Feb, 2026","Semiconductor Manufacturing","San Jose, US"
"ams OSRAM","2000","10 Feb, 2026","Semiconductor Manufacturing","Australia"
"Block","(10%)","08 Feb, 2026","Financial Services","Oakland, US"
"Ocado","1000","08 Feb, 2026","Retail","Hatfield, GB"
"Workday","400","05 Feb, 2026","Enterprise Cloud Platforms","Pleasanton, US"
