Nr,Company,Location_HQ,Region,USState,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in__mil,Year,latitude,longitude
1,Ola Electric,Bengaluru,other,Karnataka,India,Asia,620.0,2026-01-31,5.0,12400.0,11780.0,Motor Vehicle Manufacturing,Unknown,,2026,12.9767936,77.590082
2,Amazon,Seattle,Cascadia,Washington,USA,North America,16000.0,2026-01-30,,,,Software Development,Unknown,,2026,47.6038321,-122.330062
3,Zupee,Gurugram,other,Haryana,India,Asia,200.0,2026-01-30,40.0,500.0,300.0,Entertainment Providers,Unknown,,2026,28.4646148,77.0299194
4,Zillow,Seattle,Cascadia,Washington,USA,North America,200.0,2026-01-30,,,,Multiple Listing Service (MLS) Software,Unknown,,2026,47.6038321,-122.330062
5,ASML,Veldhoven,other,non,Netherlands,Europe,1700.0,2026-01-29,,,,Semiconductor Manufacturing,Unknown,,2026,51.4190691,5.4045572
6,NetEase,Hangzhou,other,non,China,Asia,,2026-01-28,,,,Online gaming,Unknown,,2026,30.2489634,120.2052342
7,Pinterest,San Francisco,San Francisco Bay Area,California,USA,North America,,2026-01-27,15.0,,,Social Networking Software,Unknown,,2026,37.7879363,-122.4075201
8,Moon Active,Tel Aviv-Yafo,other,non,Israel,Asia,110.0,2026-01-27,5.0,2200.0,2090.0,Computer Games,Unknown,,2026,32.0852997,34.7818064
9,Entropy,San Francisco,San Francisco Bay Area,California,USA,North America,,2026-01-25,100.0,,,Crypto,Unknown,,2026,37.7879363,-122.4075201
10,Nifty Gateway,New York,other,New York,USA,North America,,2026-01-24,100.0,,,Entertainment Providers,Unknown,,2026,40.7127281,-74.0060152
11,Vimeo,New York,other,New York,USA,North America,,2026-01-23,,,,Video Hosting Platform,Unknown,,2026,40.7127281,-74.0060152
12,Starbreeze,Stockholm,other,non,Sweden,Europe,,2026-01-23,,,,Computer Games,Unknown,,2026,59.3251172,18.0710935
13,Autodesk,San Francisco,San Francisco Bay Area,California,USA,North America,1000.0,2026-01-22,,,,Software Development,Unknown,,2026,37.7879363,-122.4075201
14,Code.org,Seattle,Cascadia,Washington,USA,North America,18.0,2026-01-21,,,,Primary and Secondary Education,Unknown,,2026,47.6038321,-122.330062
15,Polygon Labs,New York,other,New York,USA,North America,60.0,2026-01-16,30.0,200.0,140.0,Crypto,Unknown,,2026,40.7127281,-74.0060152
16,Ericsson,Sweden,other,non,Sweden,Europe,1600.0,2026-01-15,,,,Telecommunications,Unknown,,2026,59.3382751,18.0718928
17,Polygon Labs,New York,other,New York,USA,North America,,2026-01-15,30.0,,,Blockchain,Unknown,,2026,40.7127281,-74.0060152
18,Tipalti,Foster City,San Francisco Bay Area,non,USA,North America,100.0,2026-01-15,,,,Fintech,Unknown,,2026,37.5600336,-122.2688522
19,Playtika,Herzliya,other,non,Israel,Asia,500.0,2026-01-14,15.0,3333.0,2833.0,Computer Games,Unknown,,2026,32.1676842,34.8308279
20,eToro,London,other,England,UK,Europe,105.0,2026-01-13,,,,Financial Services,Unknown,,2026,51.5074456,-0.1277653
21,StoreDot,Herzliya,other,non,Israel,Asia,,2026-01-13,,,,Fast-charging battery developer,Unknown,,2026,32.1676842,34.8308279
22,Sapiens,Holon,other,non,Israel,Asia,,2026-01-12,10.0,,,Software,Unknown,,2026,32.0193121,34.7804076
23,Meta,Menlo Park,San Francisco Bay Area,California,USA,North America,,2026-01-12,10.0,,,Software Development,Unknown,,2026,37.4519671,-122.177992
24,Amazon,United States,other,non,United States,Unknown,2500.0,2026-01-11,,,,Retail,Unknown,,2026,38.8939168,-77.0426534
25,FormFactor,San Francisco,San Francisco Bay Area,California,USA,North America,200.0,2026-01-09,,,,Semiconductor test and measurement,Unknown,,2026,37.7879363,-122.4075201
26,OKX,San Jose,San Francisco Bay Area,California,USA,North America,10.0,2026-01-09,,,,Crypto Exchange,Unknown,,2026,37.3361663,-121.890591
27,Hailo,Tel Aviv-Yafo,other,non,Israel,Asia,30.0,2026-01-08,10.0,300.0,270.0,Semiconductor Manufacturing,Unknown,,2026,32.0852997,34.7818064
