"truncate href","text-gray-1k","truncate","truncate 2","truncate 3","truncate 4","hover:underline","hover:underline href"
"https://www.meta.com/?ref=peerlist","Meta","20","28 Feb, 2025","Social networking","Manlo Park, US","theverge.com/labor/621059/meta-fires-20-employee-leakers","https://www.theverge.com/labor/621059/meta-fires-20-employee-leakers"
"http://www.hp.com/?ref=peerlist","HP","2000","28 Feb, 2025","IT Services and IT Consulting","Palo Alto, US","entrepreneur.com/business-news/hp-is-laying-off-up-to-2000-employees-by-october/487780","https://www.entrepreneur.com/business-news/hp-is-laying-off-up-to-2000-employees-by-october/487780"
"https://www.google.com/?ref=peerlist","Google","","27 Feb, 2025","Consumer","San Francisco, US","cnbc.com/2025/02/27/google-makes-cuts-to-hr-and-cloud-units.html","https://www.cnbc.com/2025/02/27/google-makes-cuts-to-hr-and-cloud-units.html"
"http://www.autodesk.com/?ref=peerlist","Autodesk","1350 (9%)","27 Feb, 2025","Software Development","San Francisco, US","bloomberg.com/news/articles/2025-02-27/autodesk-to-cut-jobs-in-focus-on-boosting-profitability","https://www.bloomberg.com/news/articles/2025-02-27/autodesk-to-cut-jobs-in-focus-on-boosting-profitability"
"https://www.dayforce.com/?ref=peerlist","Dayforce","(5%)","26 Feb, 2025","HR","Minneapolis, US","marketwatch.com/story/dayforce-to-cut-about-5-of-workforce-in-efficiency-drive-2eabda38?mod=investing","https://www.marketwatch.com/story/dayforce-to-cut-about-5-of-workforce-in-efficiency-drive-2eabda38?mod=investing"
"https://www.commercetools.com/?ref=peerlist","Commercetools","70 (10%)","26 Feb, 2025","E-Commerce Platform","Munich, DE","techcrunch.com/2025/02/26/commercetools-a-pioneer-in-headless-commerce-lays-off-dozens-of-staff/?guccounter=1","https://techcrunch.com/2025/02/26/commercetools-a-pioneer-in-headless-commerce-lays-off-dozens-of-staff/?guccounter=1"
"https://www.ebayinc.com/?ref=peerlist","eBay","(10%)","26 Feb, 2025","E-commerce","Tel Aviv, IL","calcalistech.com/ctechnews/article/bjgsl8n9yl#google_vignette","https://www.calcalistech.com/ctechnews/article/bjgsl8n9yl#google_vignette"
"https://expediagroup.com/?ref=peerlist","Expedia","","26 Feb, 2025","Travel","Seattle, US","geekwire.com/2025/expedia-confirms-layoffs-at-seattle-travel-giant/","https://www.geekwire.com/2025/expedia-confirms-layoffs-at-seattle-travel-giant/"
"https://www.skyboxsecurity.com/?ref=peerlist","Skybox Security","(100%)","24 Feb, 2025","Computer and Network Security","San Francisco, US","calcalistech.com/ctechnews/article/s1wi4rc5yl","https://www.calcalistech.com/ctechnews/article/s1wi4rc5yl"
"https://hermd.com/?ref=peerlist","HerMD","(100%)","24 Feb, 2025","Healthcare","Cincinnati, US","bizjournals.com/cincinnati/inno/stories/news/2025/02/24/hermd-womens-health-startup-closing-venture.html","https://www.bizjournals.com/cincinnati/inno/stories/news/2025/02/24/hermd-womens-health-startup-closing-venture.html"
"http://seatgeek.com/?ref=peerlist","SeatGeek","(15%)","23 Feb, 2025","Consumer","New York, US","digitalmusicnews.com/2025/02/23/big-layoffs-at-seatgeek/","https://www.digitalmusicnews.com/2025/02/23/big-layoffs-at-seatgeek/"
"http://www.ibotta.com/?ref=peerlist","Ibotta","70 (8%)","22 Feb, 2025","Retail","Denver, US","coloradosun.com/2025/02/22/fired-federal-workers-eligible-colorado-unemployment-benefits/#h-other-working-bits","https://coloradosun.com/2025/02/22/fired-federal-workers-eligible-colorado-unemployment-benefits/#h-other-working-bits"
